"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","4학년","5학년","6학년","주당평균수업시수(교사 1인당)","주당수업시수","수업교원수"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001503","금란초등학교","02","공립","N","","190","190","190","190","190","190","22.6","158","7"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001504","금성초등학교","02","공립","N","","190","190","190","190","190","190","22.6","158","7"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001505","금파초등학교","02","공립","N","","190","190","190","190","190","190","21.8","523","24"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001506","양도초등학교","02","공립","N","","190","190","190","190","190","190","22.1","618","28"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001507","김포대명초등학교","02","공립","N","","190","190","190","190","190","190","18.2","164","9"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001508","김포서초등학교","02","공립","N","","190","190","190","190","190","190","21.6","539","25"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001509","김포초등학교","02","공립","N","","190","190","190","190","190","190","19.9","338","17"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001512","대곶초등학교","02","공립","N","","190","190","190","190","190","190","19.1","344","18"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001514","마송초등학교","02","공립","N","","190","190","190","190","190","190","19.8","337","17"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001516","사우초등학교","02","공립","N","","190","190","190","190","190","190","22.2","777","35"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001517","서암초등학교","02","공립","N","","190","190","190","190","190","190","21.2","233","11"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001518","석정초등학교","02","공립","N","","190","190","190","190","190","190","18.3","183","10"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001519","수남초등학교","02","공립","N","","190","190","190","190","190","190","19.7","138","7"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001520","양곡초등학교","02","공립","N","","190","190","190","190","190","190","22.6","542","24"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001521","옹정초등학교","02","공립","N","","190","190","190","190","190","190","22.4","157","7"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001522","운양초등학교","02","공립","N","","190","190","190","190","190","190","21.5","1330","62"
